Title,First air date,End date,Rating,Genres,Status,Network,Summary
Ballard,2025-07-09,2025-07-09,7.1,"[""Drama"", ""Crime""]",Running; returning 2027,Prime Video,"Detective Renée Ballard is tasked with running the LAPD's new cold case division—a poorly funded, all-volunteer unit with the largest case load in the city. Ballard approaches these frozen-in-time cases with empathy and determination. When she uncovers a larger conspiracy during her investigations, she'll lean on the assistance of her retired ally, Harry Bosch, to navigate the dangers that threaten both her unit and her life."
Countdown,2025-06-25,2025-09-03,6.5,"[""Crime"", ""Thriller""]",Ended,Prime Video,"When an officer with the Department of Homeland Security is murdered in broad daylight, LAPD detective Mark Meachum is recruited to a secret task force, alongside undercover agents from all branches of law enforcement, to investigate. But the hunt for the killer soon uncovers a plot far more sinister than anyone could have imagined, kicking off a race against time to save a city of millions."
The Penguin,2024-09-19,2024-11-10,8,"[""Drama"", ""Crime""]",To Be Determined,HBO,"Starring Colin Farrell as Oz Cobb (aka The Penguin), the DC Studios series continues filmmaker Matt Reeves' The Batman epic crime saga that began with Warner Bros. Pictures' global blockbuster The Batman. Developed by showrunner Lauren LeFranc, the series centers on the character played by Farrell in the film."
The Handmaid's Tale,2017-04-26,2025-05-27,7.5,"[""Drama"", ""Science-Fiction""]",Ended,Hulu,"is the story of life in the dystopia of Gilead, a totalitarian society in what was formerly the United States. Facing environmental disasters and a plunging birthrate, Gilead is ruled by a twisted fundamentalism in its militarized ‘return to traditional values'. As one of the few remaining fertile women, Offred is a Handmaid in the Commander's household, one of the caste of women forced into sexual servitude as a last desperate attempt to repopulate the world. In this terrifying society, Offred must navigate between Commanders, their cruel Wives, domestic Marthas, and her fellow Handmaids – where anyone could be a spy for Gilead – all with one goal: to survive and find the daughter that was taken from her."
American Horror Story,2011-10-05,2024-04-24,7.5,"[""Drama"", ""Horror"", ""Thriller""]",Running,FX,"is an horror television anthology series. Each season is conceived as a self-contained miniseries, following a disparate set of characters and settings, and a storyline with its own beginning, middle, and end. While some actors appear for more than one year, they play completely different roles in each season."
Ahsoka,2023-08-22,2023-10-03,7.5,"[""Action"", ""Adventure"", ""Science-Fiction""]",Running,Disney+,"Set after the fall of the Empire, Ahsoka follows the former Jedi knight Ahsoka Tano as she investigates an emerging threat to a vulnerable galaxy."
The Rainmaker,2025-08-15,2025-10-17,7.1,"[""Drama"", ""Crime"", ""Legal""]",Running; returning 2026,USA Network,"Fresh out of law school, Rudy Baylor goes head-to-head with courtroom lion Leo Drummond as well as his law school girlfriend. Rudy, along with his boss and her disheveled paralegal, uncover two connected conspiracies surrounding the mysterious death of their client's son."
Trigger Point,2022-01-23,2024-01-28,7.3,"[""Drama"", ""Thriller""]",Running; returning October 2025,ITVX,"Set in contemporary London, Trigger Point focuses on the Bomb Disposal Squad. Known as ""Expo"", officers risk their lives daily on ‘the long walk' towards danger. Death is always just a heartbeat away."
Star Trek: Discovery,2017-09-24,2024-05-30,7.3,"[""Drama"", ""Adventure"", ""Science-Fiction""]",Ended,Paramount+,"Star Trek, one of the most iconic and influential global television franchises, returns 50 years after it first premiered, with Star Trek: Discovery. The series will feature a new ship, new characters and new missions, while embracing the same ideology and hope for the future that inspired a generation of dreamers and doers."
Dexter,2006-10-01,2013-09-22,8.4,"[""Drama"", ""Crime"", ""Mystery""]",Ended,Paramount+ with Showtime,"He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself."
Shifting Gears,2025-01-08,2025-10-22,7.5,"[""Comedy""]",Running,ABC,"centers on Matt, a stubborn, widowed owner of a classic car restoration shop. When Matt's estranged daughter and her teenage kids move into his house, the real restoration begins."
The Agency: Central Intelligence,2024-11-29,2025-01-24,7.2,"[""Drama"", ""Thriller"", ""Espionage""]",Running; returning 2026,Paramount+,"follows Martian, a covert CIA agent ordered to abandon his undercover life and return to London Station. When the love he left behind reappears, romance reignites. His career, his real identity and his mission are pitted against his heart; hurling them both into a deadly game of international intrigue and espionage."
The Walking Dead: Dead City,2023-06-15,2025-06-22,7.1,"[""Drama"", ""Action"", ""Horror""]",Running; returning 2026,AMC+,"envisions the popular Maggie and Negan characters travelling into a post-apocalyptic Manhattan long ago cut off from the mainland. The crumbling city is filled with the dead and denizens who have made New York City their own world full of anarchy, danger, beauty, and terror."
Abbott Elementary,2021-12-07,2025-10-22,6.3,"[""Comedy""]",Running,ABC,"In this workplace comedy, a group of dedicated, passionate teachers — and a slightly tone-deaf principal — are brought together in a Philadelphia public school where, despite the odds stacked against them, they are determined to help their students succeed in life. Though these incredible public servants may be outnumbered and underfunded, they love what they do — even if they don't love the school district's less-than-stellar attitude toward educating children."
One-Punch Man,2015-10-06,2025-10-19,8.3,"[""Comedy"", ""Action"", ""Anime""]",Running,TV Tokyo,"is a super hero who has trained so hard that his hair has fallen out, and who can overcome any enemy with one punch. However, because he is so strong, he has become bored and frustrated with winning all his battles so easily."
The Lowdown,2025-09-23,2025-10-21,6.1,"[""Drama"", ""Comedy"", ""Crime""]",Running,FX,"Citizen journalist Lee Raybon is a self-proclaimed Tulsa ""truthstorian"" whose obsession with the truth is always getting him into trouble."
